train_id,name,direction
TOKI_1,とき1,down
TOKI_3,とき3,down
TOKI_5,とき5,down
TOKI_7,とき7,down
TOKI_9,とき9,down
TOKI_11,とき11,down
TOKI_13,とき13,down
TOKI_15,とき15,down
TOKI_17,とき17,down
TOKI_19,とき19,down
TOKI_21,とき21,down
TOKI_23,とき23,down
TOKI_25,とき25,down
TOKI_27,とき27,down
TOKI_29,とき29,down
TOKI_31,とき31,down
TOKI_33,とき33,down
TOKI_35,とき35,down
TOKI_37,とき37,down
TOKI_39,とき39,down
TOKI_41,とき41,down
TOKI_43,とき43,down
TOKI_45,とき45,down
TOKI_47,とき47,down
TOKI_2,とき2,up
TOKI_4,とき4,up
TOKI_6,とき6,up
TOKI_8,とき8,up
TOKI_10,とき10,up
TOKI_12,とき12,up
TOKI_14,とき14,up
TOKI_16,とき16,up
TOKI_18,とき18,up
TOKI_20,とき20,up
TOKI_22,とき22,up
TOKI_24,とき24,up
TOKI_26,とき26,up
TOKI_28,とき28,up
TOKI_30,とき30,up
TOKI_32,とき32,up
TOKI_34,とき34,up
TOKI_36,とき36,up
TOKI_38,とき38,up
TOKI_40,とき40,up
TOKI_42,とき42,up
TOKI_44,とき44,up
TOKI_46,とき46,up
TANIGAWA_1,たにがわ1,down
TANIGAWA_3,たにがわ3,down
TANIGAWA_5,たにがわ5,down
TANIGAWA_7,たにがわ7,down
TANIGAWA_9,たにがわ9,down
TANIGAWA_11,たにがわ11,down
TANIGAWA_13,たにがわ13,down
TANIGAWA_15,たにがわ15,down
TANIGAWA_17,たにがわ17,down
TANIGAWA_19,たにがわ19,down
TANIGAWA_2,たにがわ2,up
TANIGAWA_4,たにがわ4,up
TANIGAWA_6,たにがわ6,up
TANIGAWA_8,たにがわ8,up
TANIGAWA_10,たにがわ10,up
TANIGAWA_12,たにがわ12,up
TANIGAWA_14,たにがわ14,up
TANIGAWA_16,たにがわ16,up
TANIGAWA_18,たにがわ18,up
TANIGAWA_20,たにがわ20,up
