train_id,stop_order,station_id,arrival,departure
JOETSU_1,1,OMIYA,,06:00
JOETSU_1,2,TAKASAKI,06:25,06:26
JOETSU_1,3,ECHIGO_YUZAWA,06:55,06:56
JOETSU_1,4,NAGAOKA,07:22,07:23
JOETSU_1,5,NIIGATA,07:35,
JOETSU_3,1,OMIYA,,07:00
JOETSU_3,2,TAKASAKI,07:25,07:26
JOETSU_3,3,ECHIGO_YUZAWA,07:55,07:56
JOETSU_3,4,NAGAOKA,08:22,08:23
JOETSU_3,5,NIIGATA,08:35,
JOETSU_5,1,OMIYA,,07:30
JOETSU_5,2,TAKASAKI,07:55,07:56
JOETSU_5,3,ECHIGO_YUZAWA,08:25,08:26
JOETSU_5,4,NAGAOKA,08:52,08:53
JOETSU_5,5,NIIGATA,09:05,
JOETSU_7,1,OMIYA,,08:00
JOETSU_7,2,TAKASAKI,08:25,08:26
JOETSU_7,3,ECHIGO_YUZAWA,08:55,08:56
JOETSU_7,4,NAGAOKA,09:22,09:23
JOETSU_7,5,NIIGATA,09:35,
JOETSU_9,1,OMIYA,,08:30
JOETSU_9,2,TAKASAKI,08:55,08:56
JOETSU_9,3,ECHIGO_YUZAWA,09:25,09:26
JOETSU_9,4,NAGAOKA,09:52,09:53
JOETSU_9,5,NIIGATA,10:05,
JOETSU_11,1,OMIYA,,09:00
JOETSU_11,2,TAKASAKI,09:25,09:26
JOETSU_11,3,ECHIGO_YUZAWA,09:55,09:56
JOETSU_11,4,NAGAOKA,10:22,10:23
JOETSU_11,5,NIIGATA,10:35,
JOETSU_13,1,OMIYA,,09:30
JOETSU_13,2,TAKASAKI,09:55,09:56
JOETSU_13,3,ECHIGO_YUZAWA,10:25,10:26
JOETSU_13,4,NAGAOKA,10:52,10:53
JOETSU_13,5,NIIGATA,11:05,
JOETSU_15,1,OMIYA,,10:00
JOETSU_15,2,TAKASAKI,10:25,10:26
JOETSU_15,3,ECHIGO_YUZAWA,10:55,10:56
JOETSU_15,4,NAGAOKA,11:22,11:23
JOETSU_15,5,NIIGATA,11:35,
JOETSU_17,1,OMIYA,,11:00
JOETSU_17,2,TAKASAKI,11:25,11:26
JOETSU_17,3,ECHIGO_YUZAWA,11:55,11:56
JOETSU_17,4,NAGAOKA,12:22,12:23
JOETSU_17,5,NIIGATA,12:35,
JOETSU_19,1,OMIYA,,12:00
JOETSU_19,2,TAKASAKI,12:25,12:26
JOETSU_19,3,ECHIGO_YUZAWA,12:55,12:56
JOETSU_19,4,NAGAOKA,13:22,13:23
JOETSU_19,5,NIIGATA,13:35,
JOETSU_21,1,OMIYA,,13:00
JOETSU_21,2,TAKASAKI,13:25,13:26
JOETSU_21,3,ECHIGO_YUZAWA,13:55,13:56
JOETSU_21,4,NAGAOKA,14:22,14:23
JOETSU_21,5,NIIGATA,14:35,
JOETSU_23,1,OMIYA,,14:00
JOETSU_23,2,TAKASAKI,14:25,14:26
JOETSU_23,3,ECHIGO_YUZAWA,14:55,14:56
JOETSU_23,4,NAGAOKA,15:22,15:23
JOETSU_23,5,NIIGATA,15:35,
JOETSU_25,1,OMIYA,,15:00
JOETSU_25,2,TAKASAKI,15:25,15:26
JOETSU_25,3,ECHIGO_YUZAWA,15:55,15:56
JOETSU_25,4,NAGAOKA,16:22,16:23
JOETSU_25,5,NIIGATA,16:35,
JOETSU_27,1,OMIYA,,16:00
JOETSU_27,2,TAKASAKI,16:25,16:26
JOETSU_27,3,ECHIGO_YUZAWA,16:55,16:56
JOETSU_27,4,NAGAOKA,17:22,17:23
JOETSU_27,5,NIIGATA,17:35,
JOETSU_29,1,OMIYA,,17:00
JOETSU_29,2,TAKASAKI,17:25,17:26
