train_id,stop_order,station_id,arrival,departure
SANYO_1,1,SHIN_OSAKA,,06:00
SANYO_1,2,SHIN_KOBE,06:13,06:14
SANYO_1,3,OKAYAMA,06:46,06:47
SANYO_1,4,HIROSHIMA,07:24,07:25
SANYO_1,5,KOKURA,08:09,08:10
SANYO_1,6,HAKATA,08:25,
SANYO_3,1,SHIN_OSAKA,,06:30
SANYO_3,2,SHIN_KOBE,06:43,06:44
SANYO_3,3,OKAYAMA,07:16,07:17
SANYO_3,4,HIROSHIMA,07:54,07:55
SANYO_3,5,KOKURA,08:39,08:40
SANYO_3,6,HAKATA,08:55,
SANYO_5,1,SHIN_OSAKA,,07:00
SANYO_5,2,SHIN_KOBE,07:13,07:14
SANYO_5,3,OKAYAMA,07:46,07:47
SANYO_5,4,HIROSHIMA,08:24,08:25
SANYO_5,5,KOKURA,09:09,09:10
SANYO_5,6,HAKATA,09:25,
SANYO_7,1,SHIN_OSAKA,,07:30
SANYO_7,2,SHIN_KOBE,07:43,07:44
SANYO_7,3,OKAYAMA,08:16,08:17
SANYO_7,4,HIROSHIMA,08:54,08:55
SANYO_7,5,KOKURA,09:39,09:40
SANYO_7,6,HAKATA,09:55,
SANYO_9,1,SHIN_OSAKA,,08:00
SANYO_9,2,SHIN_KOBE,08:13,08:14
SANYO_9,3,OKAYAMA,08:46,08:47
SANYO_9,4,HIROSHIMA,09:24,09:25
SANYO_9,5,KOKURA,10:09,10:10
SANYO_9,6,HAKATA,10:25,
SANYO_11,1,SHIN_OSAKA,,08:30
SANYO_11,2,SHIN_KOBE,08:43,08:44
SANYO_11,3,OKAYAMA,09:16,09:17
SANYO_11,4,HIROSHIMA,09:54,09:55
SANYO_11,5,KOKURA,10:39,10:40
SANYO_11,6,HAKATA,10:55,
SANYO_13,1,SHIN_OSAKA,,09:00
SANYO_13,2,SHIN_KOBE,09:13,09:14
SANYO_13,3,OKAYAMA,09:46,09:47
SANYO_13,4,HIROSHIMA,10:24,10:25
SANYO_13,5,KOKURA,11:09,11:10
SANYO_13,6,HAKATA,11:25,
SANYO_15,1,SHIN_OSAKA,,09:30
SANYO_15,2,SHIN_KOBE,09:43,09:44
SANYO_15,3,OKAYAMA,10:16,10:17
SANYO_15,4,HIROSHIMA,10:54,10:55
SANYO_15,5,KOKURA,11:39,11:40
SANYO_15,6,HAKATA,11:55,
SANYO_17,1,SHIN_OSAKA,,10:00
SANYO_17,2,SHIN_KOBE,10:13,10:14
SANYO_17,3,OKAYAMA,10:46,10:47
SANYO_17,4,HIROSHIMA,11:24,11:25
SANYO_17,5,KOKURA,12:09,12:10
SANYO_17,6,HAKATA,12:25,
SANYO_19,1,SHIN_OSAKA,,10:30
SANYO_19,2,SHIN_KOBE,10:43,10:44
SANYO_19,3,OKAYAMA,11:16,11:17
SANYO_19,4,HIROSHIMA,11:54,11:55
SANYO_19,5,KOKURA,12:39,12:40
SANYO_19,6,HAKATA,12:55,
SANYO_21,1,SHIN_OSAKA,,11:00
SANYO_21,2,SHIN_KOBE,11:13,11:14
SANYO_21,3,OKAYAMA,11:46,11:47
SANYO_21,4,HIROSHIMA,12:24,12:25
SANYO_21,5,KOKURA,13:09,13:10
SANYO_21,6,HAKATA,13:25,
SANYO_23,1,SHIN_OSAKA,,11:30
SANYO_23,2,SHIN_KOBE,11:43,11:44
SANYO_23,3,OKAYAMA,12:16,12:17
SANYO_23,4,HIROSHIMA,12:54,12:55
SANYO_23,5,KOKURA,13:39,13:40
SANYO_23,6,HAKATA,13:55,
SANYO_25,1,SHIN_OSAKA,,12:00
SANYO_25,2,SHIN_KOBE,12:13,12:14
SANYO_25,3,OKAYAMA,12:46,12:47
SANYO_25,4,HIROSHIMA,13:24,13:25
SANYO_25,5,KOKURA,14:09,14:10
SANYO_25,6,HAKATA,14:25,
SANYO_27,1,SHIN_OSAKA,,12:30
SANYO_27,2,SHIN_KOBE,12:43,12:44
SANYO_27,3,OKAYAMA,13:16,13:17
SANYO_27,4,HIROSHIMA,13:54,13:55
SANYO_27,5,KOKURA,14:39,14:40
SANYO_27,6,HAKATA,14:55,
SANYO_29,1,SHIN_OSAKA,,13:00
SANYO_29,2,SHIN_KOBE,13:13,13:14
SANYO_29,3,OKAYAMA,13:46,13:47
SANYO_29,4,HIROSHIMA,14:24,14:25
SANYO_29,5,KOKURA,15:09,15:10
SANYO_29,6,HAKATA,15:25,
SANYO_31,1,SHIN_OSAKA,,13:30
SANYO_31,2,SHIN_KOBE,13:43,13:44
SANYO_31,3,OKAYAMA,14:16,14:17
SANYO_31,4,HIROSHIMA,14:54,14:55
