train_id,stop_order,station_id,arrival,departure
HAYABUSA_1,1,TOKYO,,06:32
HAYABUSA_1,2,UENO,06:38,06:39
HAYABUSA_1,3,OMIYA,06:57,06:58
HAYABUSA_1,4,SENDAI,08:00,08:01
HAYABUSA_1,5,MORIOKA,08:42,08:44
HAYABUSA_1,6,SHIN_AOMORI,09:32,
HAYABUSA_3,1,TOKYO,,07:08
HAYABUSA_3,2,UENO,07:14,07:15
HAYABUSA_3,3,OMIYA,07:33,07:34
HAYABUSA_3,4,SENDAI,08:36,08:37
HAYABUSA_3,5,MORIOKA,09:18,09:20
HAYABUSA_3,6,SHIN_AOMORI,10:08,
HAYABUSA_5,1,TOKYO,,07:20
HAYABUSA_5,2,UENO,07:26,07:27
HAYABUSA_5,3,OMIYA,07:45,07:46
HAYABUSA_5,4,SENDAI,08:48,08:49
HAYABUSA_5,5,MORIOKA,09:30,09:32
HAYABUSA_5,6,SHIN_AOMORI,10:20,
HAYABUSA_7,1,TOKYO,,07:32
HAYABUSA_7,2,UENO,07:38,07:39
HAYABUSA_7,3,OMIYA,07:57,07:58
HAYABUSA_7,4,SENDAI,09:00,09:01
HAYABUSA_7,5,MORIOKA,09:42,09:44
HAYABUSA_7,6,SHIN_AOMORI,10:32,
HAYABUSA_9,1,TOKYO,,08:08
HAYABUSA_9,2,UENO,08:14,08:15
HAYABUSA_9,3,OMIYA,08:33,08:34
HAYABUSA_9,4,SENDAI,09:36,09:37
HAYABUSA_9,5,MORIOKA,10:18,10:20
HAYABUSA_9,6,SHIN_AOMORI,11:08,
HAYABUSA_11,1,TOKYO,,08:20
HAYABUSA_11,2,UENO,08:26,08:27
HAYABUSA_11,3,OMIYA,08:45,08:46
HAYABUSA_11,4,SENDAI,09:48,09:49
HAYABUSA_11,5,MORIOKA,10:30,10:32
HAYABUSA_11,6,SHIN_AOMORI,11:20,
HAYABUSA_13,1,TOKYO,,08:32
HAYABUSA_13,2,UENO,08:38,08:39
HAYABUSA_13,3,OMIYA,08:57,08:58
HAYABUSA_13,4,SENDAI,10:00,10:01
HAYABUSA_13,5,MORIOKA,10:42,10:44
HAYABUSA_13,6,SHIN_AOMORI,11:32,
HAYABUSA_15,1,TOKYO,,09:08
HAYABUSA_15,2,UENO,09:14,09:15
HAYABUSA_15,3,OMIYA,09:33,09:34
HAYABUSA_15,4,SENDAI,10:36,10:37
HAYABUSA_15,5,MORIOKA,11:18,11:20
HAYABUSA_15,6,SHIN_AOMORI,12:08,
HAYABUSA_17,1,TOKYO,,09:36
HAYABUSA_17,2,UENO,09:42,09:43
HAYABUSA_17,3,OMIYA,10:01,10:02
HAYABUSA_17,4,SENDAI,11:04,11:05
HAYABUSA_17,5,MORIOKA,11:46,11:48
HAYABUSA_17,6,SHIN_AOMORI,12:36,
HAYABUSA_19,1,TOKYO,,10:20
HAYABUSA_19,2,UENO,10:26,10:27
HAYABUSA_19,3,OMIYA,10:45,10:46
HAYABUSA_19,4,SENDAI,11:48,11:49
HAYABUSA_19,5,MORIOKA,12:30,12:32
HAYABUSA_19,6,SHIN_AOMORI,13:20,
HAYABUSA_21,1,TOKYO,,10:36
HAYABUSA_21,2,UENO,10:42,10:43
HAYABUSA_21,3,OMIYA,11:01,11:02
HAYABUSA_21,4,SENDAI,12:04,12:05
HAYABUSA_21,5,MORIOKA,12:46,12:48
HAYABUSA_21,6,SHIN_AOMORI,13:36,
HAYABUSA_23,1,TOKYO,,11:36
HAYABUSA_23,2,UENO,11:42,11:43
HAYABUSA_23,3,OMIYA,12:01,12:02
HAYABUSA_23,4,SENDAI,13:04,13:05
HAYABUSA_23,5,MORIOKA,13:46,13:48
HAYABUSA_23,6,SHIN_AOMORI,14:36,
HAYABUSA_25,1,TOKYO,,12:36
HAYABUSA_25,2,UENO,12:42,12:43
HAYABUSA_25,3,OMIYA,13:01,13:02
HAYABUSA_25,4,SENDAI,14:04,14:05
HAYABUSA_25,5,MORIOKA,14:46,14:48
HAYABUSA_25,6,SHIN_AOMORI,15:36,
HAYABUSA_27,1,TOKYO,,13:36
HAYABUSA_27,2,UENO,13:42,13:43
HAYABUSA_27,3,OMIYA,14:01,14:02
HAYABUSA_27,4,SENDAI,15:04,15:05
HAYABUSA_27,5,MORIOKA,15:46,15:48
HAYABUSA_27,6,SHIN_AOMORI,16:36,
HAYABUSA_29,1,TOKYO,,14:36
HAYABUSA_29,2,UENO,14:42,14:43
HAYABUSA_29,3,OMIYA,15:01,15:02
HAYABUSA_29,4,SENDAI,16:04,16:05
HAYABUSA_29,5,MORIOKA,16:46,16:48
HAYABUSA_29,6,SHIN_AOMORI,17:36,
HAYABUSA_31,1,TOKYO,,15:08
HAYABUSA_31,2,UENO,15:14,15:15
HAYABUSA_31,3,OMIYA,15:33,15:34
HAYABUSA_31,4,SENDAI,16:36,16:37
HAYABUSA_31,5,MORIOKA,17:18,17:20
HAYABUSA_31,6,SHIN_AOMORI,18:08,
HAYABUSA_33,1,TOKYO,,15:36
HAYABUSA_33,2,UENO,15:42,15:43
HAYABUSA_33,3,OMIYA,16:01,16:02
HAYABUSA_33,4,SENDAI,17:04,17:05
HAYABUSA_33,5,MORIOKA,17:46,17:48
HAYABUSA_33,6,SHIN_AOMORI,18:36,
HAYABUSA_35,1,TOKYO,,16:08
HAYABUSA_35,2,UENO,16:14,16:15
HAYABUSA_35,3,OMIYA,16:33,16:34
HAYABUSA_35,4,SENDAI,17:36,17:37
